country,country_code,year,solar_share,wind_share,hydro_share,nuclear_share,renewable_share,lowcarbon_share,total_electricity,any_crisis,banking_crisis,currency_crisis,debt_crisis,rgpd_pc,population,electoral,liberal,participatory,deliberative,egalitarian,manufacturing_share,services_share,trade_openness,exports_gdp,imports_gdp,fossil_rents
Algeria,DZA,1965,0,0,4.487349800502322,0,4.487349800502322,4.487349800502322,24.760962470000003,0,0,0,0,23321.666015625,12.365976333618164,0.132,0.078,0.04,0.123,0.194,0,0,46.545278549194336,20.71220016479492,25.833078384399418,0
Algeria,DZA,1966,0,0,3.312553839482642,0,3.312553839482642,3.312553839482642,29.768906039999997,0,0,0,0,22201.068359375,12.590068817138672,0.085,0.063,0.032,0.113,0.18,0,0,48.46496391296387,23.811391830444336,24.65357208251953,0
Algeria,DZA,1967,0,0,4.042349674543816,0,4.042349674543816,4.042349674543816,28.1739308,0,0,0,0,24299.7265625,12.876117706298828,0.085,0.063,0.031,0.113,0.18,0,0,43.10494041442871,21.47317123413086,21.63176918029785,0
Algeria,DZA,1968,0,0,5.1708909250398705,0,5.1708909250398705,5.1708909250398705,30.2440899,0,0,0,0,26923.18359375,13.172614097595217,0.085,0.063,0.031,0.113,0.18,0,0,45.386648178100586,21.19939422607422,24.187253952026367,0
Algeria,DZA,1969,0,0,2.995646924409661,0,2.995646924409661,2.995646924409661,33.474495669999996,0,0,0,0,29193.69140625,13.475959777832031,0.085,0.063,0.032,0.113,0.18,0,0,49.86863327026367,21.797874450683594,28.07075881958008,0
Algeria,DZA,1970,0,0,4.395342889506323,0,4.395342889506323,4.395342889506323,36.65495595,0,0,0,0,31781.029296875,13.783719062805176,0.085,0.063,0.031,0.106,0.182,0,0,49.37811470031738,20.225446701049805,29.152667999267575,0
Algeria,DZA,1971,0,0,2.3105144131959117,0,2.3105144131959117,2.3105144131959117,39.6737062,0,0,0,0,28179.69140625,14.098936080932615,0.085,0.063,0.03,0.106,0.182,0,0,44.47438621520996,16.81060791015625,27.66377830505371,0
Algeria,DZA,1972,0,0,3.0857866653364012,0,3.0857866653364012,3.0857866653364012,44.559139990000006,0,0,0,0,35907.6796875,14.427071571350098,0.085,0.063,0.03,0.106,0.182,0,0,44.32528114318848,18.598413467407227,25.72686767578125,0
Algeria,DZA,1973,0,0,3.932698537464187,0,3.932698537464187,3.932698537464187,53.1159096,0,0,0,0,37276.90234375,14.771146774291992,0.085,0.063,0.029,0.106,0.182,0,0,54.805118560791016,23.215354919433594,31.589763641357425,0
Algeria,DZA,1974,0,0,2.3470905424540782,0,2.3470905424540782,2.3470905424540782,58.81986549,0,0,0,0,40070.77734375,15.133502006530762,0.085,0.063,0.028,0.106,0.182,0,0,70.69847869873047,35.208702087402344,35.489776611328125,0
Algeria,DZA,1975,0,0,1.295831920436019,0,1.295831920436019,1.295831920436019,70.3109011,0,0,0,0,42092.48828125,15.678595542907717,0.085,0.063,0.027,0.106,0.182,0,0,73.7132568359375,30.747657775878903,42.965599060058594,0
Algeria,DZA,1976,0,0,1.3172303357674953,0,1.3172303357674953,1.3172303357674953,82.0323956,0,0,0,0,45622.6796875,16.409170150756836,0.089,0.064,0.025,0.107,0.183,0,0,67.17974662780762,30.06107521057129,37.11867141723633,0
Algeria,DZA,1977,0,0,0.8287330587850673,0,0.8287330587850673,0.8287330587850673,90.1644012,0,0,0,0,48021.78515625,17.015993118286133,0.19,0.107,0.04,0.13,0.213,0,0,69.56016540527344,27.819847106933594,41.74031829833984,0
Algeria,DZA,1978,0,0,0.6128351721620443,0,0.6128351721620443,0.6128351721620443,113.31666842,0,0,0,0,52446.91796875,17.506973266601563,0.195,0.102,0.04,0.131,0.214,0,0,63.43806076049805,23.26932907104492,40.168731689453125,0
Algeria,DZA,1979,0,0,0.5443759732720883,0,0.5443759732720883,0.5443759732720883,148.48806334,0,0,0,0,56368.8046875,18.03665542602539,0.194,0.103,0.04,0.141,0.214,0,0,61.31294631958008,28.44719696044922,32.86574935913086,0
Algeria,DZA,1980,0,0,0.4031064037511728,0,0.4031064037511728,0.4031064037511728,177.0968889,0,0,0,0,56814.45703125,18.607173919677734,0.196,0.107,0.042,0.152,0.212,0,0,61.72353172302246,31.38507080078125,30.33846092224121,23.200000000000003
Algeria,DZA,1981,0,0,0.4726031775722145,0,0.4726031775722145,0.4726031775722145,215.1205807,0,0,0,0,58518.890625,19.220703125,0.196,0.107,0.042,0.152,0.212,0,0,62.47044944763184,31.59270668029785,30.877742767333984,26.579634464751955
Algeria,DZA,1982,0,0,0.536457519327672,0,0.536457519327672,0.536457519327672,248.0262746,0,0,0,0,62264.10546875,19.87234878540039,0.205,0.109,0.044,0.154,0.215,0,0,57.28000831604004,28.281932830810547,28.998075485229492,19.990366088631983
Algeria,DZA,1983,0,0,0.24094446641140227,0,0.24094446641140227,0.24094446641140227,270.92455773,0,0,0,0,65626.3671875,20.558115005493164,0.207,0.109,0.044,0.155,0.216,0,0,51.35260009765625,25.550289154052734,25.802310943603516,16.131792896876338
Algeria,DZA,1984,0,0,0.4826921001622145,0,0.4826921001622145,0.4826921001622145,260.1151955,0,0,0,0,69301.4453125,21.271968841552734,0.207,0.109,0.044,0.155,0.215,0,0,50.913522720336914,23.447154998779297,27.466367721557617,16.597195907540733
Algeria,DZA,1985,0,0,0.6844301196124101,0,0.6844301196124101,0.6844301196124101,262.1808054,0,0,0,0,71865.6015625,22.008544921875,0.207,0.111,0.044,0.155,0.215,0,0,48.25396919250488,21.511781692504883,26.7421875,16.049382716049383
Algeria,DZA,1986,0,0,0.2502991671351228,0,0.2502991671351228,0.2502991671351228,277.4457494,0,0,0,0,72153.0625,22.745498657226563,0.207,0.111,0.044,0.147,0.215,0,0,35.103960037231445,11.9320068359375,23.171953201293945,7.215104517869183
Algeria,DZA,1987,0,0,0.4862205561193244,0,0.4862205561193244,0.4862205561193244,285.0786711,0,0,0,0,71647.9921875,23.44362449645996,0.207,0.111,0.044,0.145,0.215,0,0,31.808778762817383,13.396669387817385,18.412109375,6.555804285257436
Algeria,DZA,1988,0,0,0.16645434006159512,0,0.16645434006159512,0.16645434006159512,305.3890333,1,0,1,0,70931.5078125,24.109535217285156,0.206,0.114,0.044,0.145,0.215,0,0,35.71962928771973,13.115909576416016,22.60371971130371,6.931262582686223
Algeria,DZA,1989,0,0,0.21135321576127053,0,0.21135321576127053,0.21135321576127053,297.02777776,0,0,0,0,74052.5,24.754484176635746,0.224,0.122,0.072,0.21,0.217,0,0,45.418684005737305,16.904626846313477,28.514057159423828,10.780891994417631
Algeria,DZA,1990,0,0,0.119066694174608,0,0.119066694174608,0.119066694174608,314.9495353,1,1,0,0,74644.921875,25.375810623168945,0.352,0.159,0.137,0.303,0.284,0,0,46.302528381347656,21.36549949645996,24.937028884887695,13.744588744588745
Algeria,DZA,1991,0,0,0.26082624428788703,0,0.26082624428788703,0.26082624428788703,312.0425639,0,0,0,0,73749.1875,25.98792839050293,0.351,0.151,0.138,0.328,0.28,0,0,49.73614501953125,26.136381149291992,23.599763870239254,18.73263027007465
Algeria,DZA,1992,0,0,0.17263988850720988,0,0.17263988850720988,0.17263988850720988,320.19122276999997,0,0,0,0,75076.671875,26.628568649291992,0.188,0.081,0.086,0.253,0.21,0,0,46.5167179107666,22.647228240966797,23.869489669799805,18.11676801325027
Algeria,DZA,1993,0,0,0.3291208802277778,0,0.3291208802277778,0.3291208802277778,297.9317202,0,0,0,0,73500.0625,27.27704811096191,0.175,0.081,0.075,0.222,0.203,0,0,42.521657943725586,19.382720947265625,23.13893699645996,15.549825001428902
Algeria,DZA,1994,0,0,0.1527407324526623,0,0.1527407324526623,0.1527407324526623,301.89135706999997,1,0,1,0,72838.5625,27.887279510498047,0.182,0.1,0.075,0.225,0.205,0,0,47.10419273376465,21.050479888916016,26.053712844848633,17.325534489713597
Algeria,DZA,1995,0,0,0.171221190656188,0,0.171221190656188,0.171221190656188,313.1102511,0,0,0,0,75606.4296875,28.470190048217773,0.188,0.111,0.085,0.227,0.21,0,0,53.295745849609375,24.299516677856445,28.99622917175293,17.895351099007975
Algeria,DZA,1996,0,0,0.12100656556487656,0,0.12100656556487656,0.12100656556487656,309.9005399,0,0,0,0,78706.28125,29.033044815063477,0.336,0.156,0.127,0.293,0.272,0,0,51.744436264038086,27.79973602294922,23.944700241088867,20.22178988326848
Algeria,DZA,1997,0,0,0.0699465844233962,0,0.0699465844233962,0.0699465844233962,297.84632332999996,0,0,0,0,79572.0546875,29.579301834106445,0.325,0.152,0.123,0.287,0.268,0,0,48.86163520812988,27.52403450012207,21.337600708007813,21.31141644486008
