Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.03637902,80.97530364,79.58825675,79.46595102,80.85538262,79.08963226,79.32224689,79.37525985,77.40907252,76.45658099,75.54106103,73.74717564,72.05188507,73.15253996,75.76640292,78.54453352,77.42332957,79.53912898,80.18082059,80.22864425,79.13905337,78.73113054,78.98787957,79.72916102,78.3274437,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,37.99502416,40.31547566,40.83689901,36.60081139,38.39027254,42.51402443,41.68161027,42.13383697,43.75760735,45.44509417,48.72794783,49.57662514,52.15202025,52.50024277,51.3056411,51.35641912,51.96956433,52.76349423,53.04088178,51.95903288,51.35668309,54.25118049,54.22000239,53.00427788,52.29441517,50.0263211,48.348301,53.63670467,54.21425125,53.99799719,53.87618158,54.03802434,53.673097,54.03023467,53.53147191,53.68292944,53.27599654,52.41381672,51.51912646,49.98571874,47.57905456,49.24621612,49.42872945
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1511546,37.44480384,41.11089534,39.00778718,39.83102433,40.29468522,45.40983087,45.24443493,48.87937691,49.6968204,50.57939792,52.68274347,52.99086504,53.2352935,59.02321641,58.32905001,59.47742291,55.47280674,52.57210909,47.16042239,45.0499088,46.37436987,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,46.46377857,47.85952977,44.81832371,41.99290033,38.61854462,45.83561612,44.28938971,43.38254737,42.68971894,43.14870891,42.75498666,43.13682837,44.00583314,43.17371328,39.44396562,36.8865917,37.37584463,42.04190574,41.12809104,40.85368769,42.45649821,38.87112199,39.13398429,41.47332168,41.48978758,44.89663437,46.26536116,45.03095676,47.13111205,46.73243993,45.25317632,46.30280756,47.57568752,49.00640826,53.30973544,54.19032552,51.37129026,49.00416436,48.11776424,46.54690754,44.72699731,44.0016233,44.18578698,46.13606112
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.06161049,25.1524549,30.24024067,31.93152829,20.99237086,22.21235549,26.95981144,37.90757897,41.18298746,40.34747311,35.52672583,37.15684684,34.61187835,34.33820176,48.99067141,41.88702582,39.07583075,39.60494555,42.78491467,46.81392753,48.65988857,46.98099553,46.76262483,43.20690961,42.12320901,44.39559215,40.93374158,41.17476937,39.76958754,39.34987237
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.43287826,39.46635992,41.41348005,42.96618581,45.45515178,42.11593904,42.19905205,40.86930149,39.09755515,39.55989883,40.3981319,40.19919728,40.5451705,41.07502865,42.00402386,41.31318459,42.23901955,43.50592361,42.62878446,42.65756381,42.87786475,43.4481769,44.56213071,44.39702825,45.45341143,45.7213593,45.24384613,46.20942581,47.95746391,48.88379795
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.56099904,75.19393298,74.74635953,74.93703674,74.79423736,74.41988602,74.12427,74.55926199,75.36407506,76.0356014,76.99121165,77.3751352,76.82494913,78.02157585,78.24370911,78.66741433,78.10085369,77.86885863,77.6557919,77.55550982,79.81541549,79.38185039,78.19182571,78.31102274,77.5890386
Arab World,ARB,,,,,,,,,,,,,,,,30.34515235,31.25828113,33.26171782,36.22337498,33.07467715,30.11012436,33.72109613,40.95239194,44.80547775,45.69615803,45.41887471,48.21660916,46.17804601,47.11126859,46.97301352,38.49350587,46.568253,42.10623738,44.09047208,46.27407884,46.6551748,44.90270288,45.66413551,48.95324611,46.20091089,42.00365869,44.82982253,45.87177691,44.55552252,43.09182364,39.53677126,38.11784554,38.96116288,36.73404601,44.56351972,43.09668295,40.31168096,41.09608977,43.05243448,45.56241165,53.32434051,55.18098692,53.13474193,49.32353796,50.99306222,55.57404729,48.44496895,43.37950772,47.52574612,48.71850434
United Arab Emirates,ARE,,,,,,,,,,,,,,,,25.4643047,27.64018907,31.53313694,31.31213264,28.09722444,26.84579121,31.08838617,36.20758156,37.86522074,36.34681418,37.82202662,46.66110251,44.1756695,45.78802715,43.730045,40.03922095,51.9239305,43.3233557,47.03917728,51.9091999,52.66775777,51.84056576,52.56756663,57.79557705,55.64609223,49.22033828,48.08545855,50.25092983,48.95130315,46.65629001,42.96086491,41.00264428,44.18310024,41.15471609,46.91815711,47.58651475,42.27145773,42.80399426,45.16301253,47.38157033,55.92208347,58.22056536,56.71020763,52.36957841,54.72877176,56.86206621,51.91725762,48.21332402,51.57515139,
Argentina,ARG,,,,,,38.68135829,40.11709274,42.63620116,43.24265853,43.42715421,48.0836525,43.17878672,43.43347582,44.69502835,46.17635963,43.27476829,40.954084,44.10665582,46.3979525,48.17559806,52.42683251,53.1862536,49.30099531,49.78536853,51.94583523,53.08953817,54.81916247,54.07696627,52.5355207,48.03609224,55.85444764,60.56119851,63.32521644,61.05689761,61.59079292,62.26377967,61.35099555,60.8492831,61.53968561,63.48773052,63.46931344,65.08125733,54.77644565,51.03169425,47.83698829,48.48614593,48.74913337,49.50833078,50.2551922,53.306001,51.49518021,51.81190075,53.65811792,53.91909367,52.94054347,55.81490128,56.12223585,57.34993738,56.36975027,55.43881711,54.85786746,52.83403195,53.51164072,53.14869357,53.35563483
